model,input_h,input_w,cin,cout,ks,stride,groups
dwconv-bn-relu, 7, 7, 480, 480, 3, 1, 480
dwconv-bn-relu, 112, 112, 64, 64, 3, 2, 64
dwconv-bn-relu, 56, 56, 72, 72, 5, 1, 72
dwconv-bn-relu, 56, 56, 144, 144, 7, 1, 144
dwconv-bn-relu, 56, 56, 96, 96, 3, 1, 96
dwconv-bn-relu, 56, 56, 144, 144, 3, 2, 144
dwconv-bn-relu, 28, 28, 120, 120, 5, 2, 120
dwconv-bn-relu, 14, 14, 320, 320, 3, 1, 320
dwconv-bn-relu, 14, 14, 448, 448, 3, 1, 448
dwconv-bn-relu, 14, 14, 672, 672, 7, 2, 672
dwconv-bn-relu, 7, 7, 960, 960, 3, 1, 960
dwconv-bn-relu, 56, 56, 96, 96, 7, 1, 96
dwconv-bn-relu, 56, 56, 72, 72, 7, 1, 72
dwconv-bn-relu, 56, 56, 72, 72, 7, 2, 72
dwconv-bn-relu, 28, 28, 120, 120, 5, 1, 120
dwconv-bn-relu, 28, 28, 160, 160, 7, 2, 160
dwconv-bn-relu, 14, 14, 672, 672, 5, 1, 672
dwconv-bn-relu, 14, 14, 672, 672, 5, 2, 672
dwconv-bn-relu, 7, 7, 960, 960, 7, 1, 960
dwconv-bn-relu, 28, 28, 120, 120, 7, 2, 120
dwconv-bn-relu, 14, 14, 240, 240, 3, 1, 240
dwconv-bn-relu, 14, 14, 480, 480, 5, 1, 480
dwconv-bn-relu, 14, 14, 336, 336, 5, 1, 336
dwconv-bn-relu, 112, 112, 48, 48, 5, 2, 48
dwconv-bn-relu, 28, 28, 160, 160, 3, 1, 160
dwconv-bn-relu, 14, 14, 336, 336, 7, 2, 336
dwconv-bn-relu, 56, 56, 72, 72, 3, 1, 72
dwconv-bn-relu, 56, 56, 72, 72, 5, 2, 72
dwconv-bn-relu, 28, 28, 240, 240, 3, 2, 240
dwconv-bn-relu, 14, 14, 336, 336, 7, 1, 336
dwconv-bn-relu, 56, 56, 96, 96, 3, 2, 96
dwconv-bn-relu, 56, 56, 96, 96, 5, 2, 96
dwconv-bn-relu, 14, 14, 336, 336, 5, 2, 336
dwconv-bn-relu, 56, 56, 144, 144, 7, 2, 144
dwconv-bn-relu, 112, 112, 96, 96, 5, 2, 96
dwconv-bn-relu, 14, 14, 448, 448, 5, 2, 448
dwconv-bn-relu, 14, 14, 336, 336, 3, 1, 336
dwconv-bn-relu, 112, 112, 64, 64, 5, 2, 64
dwconv-bn-relu, 28, 28, 240, 240, 5, 2, 240
dwconv-bn-relu, 14, 14, 336, 336, 3, 2, 336
dwconv-bn-relu, 28, 28, 120, 120, 3, 2, 120
dwconv-bn-relu, 112, 112, 48, 48, 7, 2, 48
dwconv-bn-relu, 14, 14, 672, 672, 7, 1, 672
dwconv-bn-relu, 112, 112, 64, 64, 7, 2, 64
dwconv-bn-relu, 112, 112, 96, 96, 7, 2, 96
