model,input_h,input_w,cin,cout,ks,stride,groups
dwconv-bn-relu, 112, 112, 16, 16, 3, 1, 16
dwconv-bn-relu, 112, 112, 48, 48, 3, 2, 48
dwconv-bn-relu, 112, 112, 16, 16, 3, 1, 16
dwconv-bn-relu, 112, 112, 48, 48, 3, 2, 48
dwconv-bn-relu, 112, 112, 16, 16, 3, 1, 16
dwconv-bn-relu, 112, 112, 48, 48, 3, 2, 48
dwconv-bn-relu, 112, 112, 16, 16, 3, 1, 16
dwconv-bn-relu, 112, 112, 48, 48, 3, 2, 48
dwconv-bn-relu, 56, 56, 144, 144, 3, 1, 144
dwconv-bn-relu, 56, 56, 96, 96, 5, 1, 96
dwconv-bn-relu, 56, 56, 144, 144, 5, 2, 144
dwconv-bn-relu, 28, 28, 240, 240, 3, 1, 240
dwconv-bn-relu, 28, 28, 160, 160, 7, 1, 160
dwconv-bn-relu, 28, 28, 120, 120, 3, 1, 120
dwconv-bn-relu, 28, 28, 160, 160, 3, 2, 160
dwconv-bn-relu, 14, 14, 320, 320, 5, 1, 320
dwconv-bn-relu, 14, 14, 480, 480, 3, 1, 480
dwconv-bn-relu, 14, 14, 672, 672, 3, 1, 672
dwconv-bn-relu, 14, 14, 448, 448, 3, 2, 448
dwconv-bn-relu, 7, 7, 640, 640, 7, 1, 640
dwconv-bn-relu, 7, 7, 640, 640, 3, 1, 640
dwconv-bn-relu, 7, 7, 640, 640, 5, 1, 640
dwconv-bn-relu, 56, 56, 96, 96, 7, 2, 96
dwconv-bn-relu, 28, 28, 240, 240, 7, 1, 240
dwconv-bn-relu, 28, 28, 160, 160, 5, 2, 160
dwconv-bn-relu, 14, 14, 240, 240, 5, 1, 240
dwconv-bn-relu, 14, 14, 448, 448, 7, 1, 448
dwconv-bn-relu, 14, 14, 448, 448, 7, 2, 448
dwconv-bn-relu, 7, 7, 480, 480, 5, 1, 480
dwconv-bn-relu, 112, 112, 96, 96, 3, 2, 96
dwconv-bn-relu, 56, 56, 144, 144, 5, 1, 144
dwconv-bn-relu, 56, 56, 72, 72, 3, 2, 72
dwconv-bn-relu, 28, 28, 240, 240, 5, 1, 240
dwconv-bn-relu, 28, 28, 160, 160, 5, 1, 160
dwconv-bn-relu, 28, 28, 240, 240, 7, 2, 240
dwconv-bn-relu, 14, 14, 480, 480, 7, 1, 480
dwconv-bn-relu, 14, 14, 320, 320, 7, 1, 320
dwconv-bn-relu, 7, 7, 480, 480, 7, 1, 480
dwconv-bn-relu, 28, 28, 120, 120, 7, 1, 120
dwconv-bn-relu, 14, 14, 240, 240, 7, 1, 240
dwconv-bn-relu, 14, 14, 448, 448, 5, 1, 448
dwconv-bn-relu, 14, 14, 672, 672, 3, 2, 672
dwconv-bn-relu, 7, 7, 960, 960, 5, 1, 960
