cin,cout,ks,exp,s
336,400,7,1.5,1
240,400,5,1,1
128,256,5,0.5,2
112,128,7,1,1
112,80,3,0.5,1
80,80,3,1.5,1
240,352,5,0.5,1
352,400,7,1,1
128,96,3,1.5,1
48,96,5,1,2
96,112,3,1.5,1
208,192,3,1,1
192,224,5,0.5,1
48,80,5,1,2
256,416,3,0.5,1
64,80,3,0.5,2
16,32,3,1.5,2
48,128,7,0.5,2
256,224,5,1.5,1
48,64,5,1,1
192,416,5,1.5,1
128,240,3,0.5,2
224,224,7,1.5,1
112,112,3,1,1
80,112,3,1,1
352,432,7,1,1
256,208,5,1.5,1
208,240,5,0.5,1
224,256,7,1,1
128,192,5,0.5,2
192,224,7,1.5,1
128,224,7,1.5,2
256,208,7,1.5,1
208,208,5,0.5,1
208,256,3,0.5,1
256,336,5,1.5,1
336,416,5,0.5,1
240,208,3,1,1
208,256,7,1.5,1
256,368,7,1.5,1
368,416,7,0.5,1
224,432,5,1,1
432,336,7,1,1
144,192,3,0.5,2
112,112,3,1.5,1
144,224,7,0.5,2
240,352,3,0.5,1
352,432,3,1,1
32,64,5,0.5,2
208,336,3,0.5,1
64,128,5,1.5,2
240,256,3,1,1
224,208,5,1,1
240,320,7,1.5,1
48,32,7,1.5,1
224,224,7,1,1
224,400,3,0.5,1
128,80,7,0.5,1
192,224,7,0.5,1
144,240,7,1,2
240,256,7,1,1
192,224,3,0.5,1
224,192,5,1.5,1
80,128,3,1,1
240,192,5,1.5,1
192,208,3,1.5,1
368,336,7,1.5,1
128,208,3,1.5,2
192,352,3,1.5,1
256,368,5,1,1
208,336,5,1.5,1
112,144,7,0.5,1
400,432,7,1.5,1
224,192,7,1,1
96,80,3,0.5,1
224,384,5,1.5,1
208,256,3,1.5,1
256,240,3,1,1
48,112,5,0.5,2
256,256,3,1.5,1
256,208,3,1.5,1
128,224,3,0.5,2
240,192,3,1.5,1
256,224,3,0.5,1
48,128,5,1.5,2
240,240,3,0.5,1
240,432,5,1.5,1
256,256,7,0.5,1
64,80,5,0.5,2
128,256,7,0.5,2
256,224,7,1.5,1
192,416,3,0.5,1
48,128,5,1,2
128,112,3,0.5,1
224,208,7,0.5,1
128,256,7,1.5,2
256,240,7,1.5,1
256,416,5,0.5,1
416,416,7,1,1
224,352,3,0.5,1
208,432,5,0.5,1
64,128,7,0.5,2
256,352,5,0.5,1
352,400,7,0.5,1
256,208,3,1,1
208,256,5,0.5,1
208,320,5,1,1
256,352,5,1.5,1
432,368,5,0.5,1
224,224,7,0.5,1
224,256,3,1,1
240,416,3,1.5,1
416,400,5,1.5,1
96,128,3,1,1
64,128,7,1,2
112,96,5,0.5,1
208,368,5,1,1
144,192,3,1.5,2
192,384,7,1.5,1
240,368,5,0.5,1
368,336,3,0.5,1
224,192,3,1.5,1
192,256,7,0.5,1
112,144,3,0.5,1
256,368,7,1,1
80,144,3,1.5,1
128,208,7,1,2
224,192,7,0.5,1
144,208,7,1,2
208,224,7,1.5,1
192,352,5,0.5,1
240,256,5,1,1
112,144,5,1.5,1
64,96,7,1,2
192,432,3,1,1
432,400,3,1.5,1
128,256,3,1,2
208,384,5,0.5,1
384,384,5,1,1
144,224,5,1,2
48,128,5,0.5,2
240,208,7,0.5,1
144,192,7,1,2
208,432,7,1.5,1
80,96,3,0.5,1
256,336,7,1,1
144,240,3,1,2
240,224,3,0.5,1
224,192,3,1,1
208,192,3,0.5,1
240,432,5,0.5,1
224,352,7,1.5,1
80,96,7,0.5,1
256,320,7,1.5,1
240,400,3,0.5,1
144,256,3,1.5,2
208,192,7,1,1
240,416,3,1,1
416,432,3,0.5,1
64,80,7,0.5,2
144,208,7,0.5,2
80,144,7,1.5,1
192,224,3,1,1
144,224,5,1.5,2
224,240,5,0.5,1
208,224,7,1,1
224,384,3,0.5,1
224,336,7,1.5,1
336,336,3,1.5,1
240,432,5,1,1
432,384,3,1,1
64,96,7,1.5,2
224,400,5,1.5,1
400,320,7,1,1
64,112,5,1.5,2
96,112,7,1,1
192,400,3,0.5,1
400,352,3,1,1
208,256,5,1.5,1
96,112,5,1.5,1
208,320,7,0.5,1
320,320,3,1.5,1
144,208,5,1.5,2
208,224,7,0.5,1
208,400,5,1,1
208,224,3,1.5,1
64,112,3,1.5,2
208,416,7,1.5,1
192,352,7,0.5,1
352,384,5,1,1
240,336,5,1.5,1
208,240,7,0.5,1
240,256,5,0.5,1
240,336,7,1.5,1
336,416,3,1,1
320,352,5,0.5,1
112,112,7,1.5,1
112,80,5,1.5,1
240,320,3,1.5,1
320,352,7,1.5,1
256,224,3,1,1
192,416,7,1.5,1
416,320,7,1.5,1
64,80,7,1,2
80,144,5,0.5,1
192,384,5,0.5,1
432,432,5,1.5,1
192,432,7,0.5,1
432,432,3,0.5,1
192,416,5,1,1
416,336,7,1.5,1
144,208,5,1,2
208,192,7,1.5,1
48,96,3,0.5,2
208,352,3,0.5,1
192,352,7,1,1
352,336,3,1.5,1
432,400,7,1.5,1
128,192,7,1,2
192,320,5,0.5,1
320,416,7,1,1
256,336,3,1.5,1
336,368,5,1.5,1
256,192,7,1.5,1
224,384,5,0.5,1
384,320,3,0.5,1
432,384,7,0.5,1
224,320,5,1,1
352,352,3,1,1
240,400,5,1.5,1
144,208,3,1,2
352,384,3,0.5,1
256,192,5,1,1
96,80,5,0.5,1
16,48,5,1.5,2
192,192,3,1.5,1
208,256,7,0.5,1
432,320,3,1,1
192,432,7,1.5,1
208,240,7,1.5,1
240,432,3,0.5,1
432,320,5,1.5,1
224,368,5,0.5,1
368,384,7,0.5,1
64,80,5,1,2
128,208,3,0.5,2
256,224,7,0.5,1
224,400,5,1,1
400,320,3,1,1
208,368,7,1.5,1
224,432,7,1,1
48,96,7,1.5,2
256,352,3,1,1
240,336,7,1,1
112,144,3,1.5,1
256,336,7,0.5,1
336,416,7,0.5,1
192,432,7,1,1
432,416,3,1.5,1
256,336,7,1.5,1
192,368,3,1,1
368,384,3,1.5,1
144,224,3,0.5,2
240,240,5,0.5,1
336,432,7,0.5,1
256,384,5,1,1
240,432,3,1,1
432,368,7,1.5,1
192,240,5,1.5,1
