model,input_h,input_w,cin,cout,ks,stride,groups
resnet, 14, 14, 816, 576, 1, 1, 1
resnet, 14, 14, 1024, 208, 1, 1, 1
resnet, 14, 14, 1024, 256, 1, 1, 1
resnet, 14, 14, 1024, 264, 1, 1, 1
resnet, 14, 14, 1024, 328, 1, 1, 1
resnet, 14, 14, 1024, 360, 1, 1, 1
resnet, 14, 14, 1024, 512, 1, 1, 1
resnet, 28, 28, 64, 64, 3, 1, 1
resnet, 28, 28, 64, 336, 1, 1, 1
resnet, 28, 28, 80, 80, 3, 1, 1
resnet, 28, 28, 80, 408, 1, 1, 1
resnet, 28, 28, 88, 88, 3, 1, 1
resnet, 28, 28, 88, 336, 1, 1, 1
resnet, 28, 28, 104, 104, 3, 1, 1
resnet, 28, 28, 104, 408, 1, 1, 1
resnet, 28, 28, 104, 512, 1, 1, 1
resnet, 28, 28, 120, 120, 3, 1, 1
resnet, 28, 28, 120, 336, 1, 1, 1
resnet, 28, 28, 128, 128, 3, 1, 1
resnet, 28, 28, 128, 512, 1, 1, 1
resnet, 28, 28, 136, 136, 3, 2, 1
resnet, 28, 28, 144, 144, 3, 1, 1
resnet, 28, 28, 144, 408, 1, 1, 1
resnet, 28, 28, 160, 160, 3, 2, 1
resnet, 28, 28, 168, 168, 3, 2, 1
resnet, 28, 28, 168, 336, 1, 1, 1
resnet, 28, 28, 168, 408, 1, 1, 1
resnet, 28, 28, 168, 512, 1, 1, 1
resnet, 28, 28, 176, 176, 3, 1, 1
resnet, 28, 28, 176, 512, 1, 1, 1
resnet, 28, 28, 208, 208, 3, 2, 1
resnet, 28, 28, 208, 336, 1, 1, 1
resnet, 28, 28, 208, 408, 1, 1, 1
resnet, 28, 28, 208, 512, 1, 1, 1
resnet, 28, 28, 232, 232, 3, 2, 1
resnet, 28, 28, 256, 256, 3, 2, 1
resnet, 28, 28, 256, 336, 1, 1, 1
resnet, 28, 28, 256, 408, 1, 1, 1
resnet, 28, 28, 256, 512, 1, 1, 1
resnet, 28, 28, 288, 288, 3, 2, 1
resnet, 28, 28, 336, 64, 1, 1, 1
resnet, 28, 28, 336, 88, 1, 1, 1
resnet, 28, 28, 336, 120, 1, 1, 1
resnet, 28, 28, 336, 136, 1, 1, 1
resnet, 28, 28, 336, 160, 1, 1, 1
resnet, 28, 28, 336, 168, 1, 1, 1
resnet, 28, 28, 336, 208, 1, 1, 1
resnet, 28, 28, 336, 232, 1, 1, 1
resnet, 28, 28, 336, 288, 1, 1, 1
resnet, 28, 28, 336, 360, 1, 1, 1
resnet, 28, 28, 360, 360, 3, 2, 1
resnet, 28, 28, 408, 80, 1, 1, 1
resnet, 28, 28, 408, 104, 1, 1, 1
resnet, 28, 28, 408, 144, 1, 1, 1
resnet, 28, 28, 408, 160, 1, 1, 1
resnet, 28, 28, 408, 168, 1, 1, 1
resnet, 28, 28, 408, 208, 1, 1, 1
resnet, 28, 28, 408, 288, 1, 1, 1
resnet, 28, 28, 512, 104, 1, 1, 1
resnet, 28, 28, 512, 128, 1, 1, 1
resnet, 28, 28, 512, 168, 1, 1, 1
resnet, 28, 28, 512, 176, 1, 1, 1
resnet, 28, 28, 512, 208, 1, 1, 1
resnet, 28, 28, 512, 256, 1, 1, 1
resnet, 56, 56, 32, 32, 3, 1, 1
resnet, 56, 56, 32, 168, 1, 1, 1
resnet, 56, 56, 40, 32, 1, 1, 1
resnet, 56, 56, 40, 40, 1, 1, 1
resnet, 56, 56, 40, 40, 3, 1, 1
resnet, 56, 56, 40, 56, 1, 1, 1
resnet, 56, 56, 40, 64, 1, 1, 1
resnet, 56, 56, 40, 72, 1, 1, 1
resnet, 56, 56, 40, 88, 1, 1, 1
resnet, 56, 56, 40, 168, 1, 1, 1
resnet, 56, 56, 40, 208, 1, 1, 1
resnet, 56, 56, 40, 256, 1, 1, 1
resnet, 56, 56, 48, 32, 1, 1, 1
resnet, 56, 56, 48, 48, 1, 1, 1
resnet, 56, 56, 48, 48, 3, 1, 1
resnet, 56, 56, 48, 72, 1, 1, 1
resnet, 56, 56, 48, 88, 1, 1, 1
resnet, 56, 56, 48, 168, 1, 1, 1
resnet, 56, 56, 48, 208, 1, 1, 1
resnet, 56, 56, 48, 256, 1, 1, 1
resnet, 56, 56, 56, 56, 3, 1, 1
resnet, 56, 56, 56, 168, 1, 1, 1
resnet, 56, 56, 56, 208, 1, 1, 1
resnet, 56, 56, 64, 48, 1, 1, 1
resnet, 56, 56, 64, 56, 1, 1, 1
resnet, 56, 56, 64, 64, 3, 1, 1
resnet, 56, 56, 64, 64, 3, 2, 1
resnet, 56, 56, 64, 72, 1, 1, 1
resnet, 56, 56, 64, 88, 1, 1, 1
resnet, 56, 56, 64, 208, 1, 1, 1
resnet, 56, 56, 64, 256, 1, 1, 1
resnet, 56, 56, 72, 72, 3, 1, 1
resnet, 56, 56, 72, 208, 1, 1, 1
resnet, 56, 56, 80, 80, 3, 2, 1
resnet, 56, 56, 88, 88, 3, 1, 1
resnet, 56, 56, 88, 88, 3, 2, 1
resnet, 56, 56, 88, 256, 1, 1, 1
resnet, 56, 56, 104, 104, 3, 2, 1
resnet, 56, 56, 120, 120, 3, 2, 1
resnet, 56, 56, 128, 128, 3, 2, 1
resnet, 56, 56, 144, 144, 3, 2, 1
resnet, 56, 56, 168, 32, 1, 1, 1
resnet, 56, 56, 168, 40, 1, 1, 1
resnet, 56, 56, 168, 56, 1, 1, 1
resnet, 56, 56, 168, 64, 1, 1, 1
resnet, 56, 56, 168, 80, 1, 1, 1
resnet, 56, 56, 168, 104, 1, 1, 1
resnet, 56, 56, 168, 120, 1, 1, 1
resnet, 56, 56, 168, 128, 1, 1, 1
resnet, 56, 56, 168, 144, 1, 1, 1
resnet, 56, 56, 176, 176, 3, 2, 1
resnet, 56, 56, 208, 40, 1, 1, 1
resnet, 56, 56, 208, 56, 1, 1, 1
resnet, 56, 56, 208, 64, 1, 1, 1
resnet, 56, 56, 208, 72, 1, 1, 1
resnet, 56, 56, 208, 80, 1, 1, 1
resnet, 56, 56, 208, 88, 1, 1, 1
resnet, 56, 56, 208, 104, 1, 1, 1
resnet, 56, 56, 208, 120, 1, 1, 1
resnet, 56, 56, 208, 144, 1, 1, 1
resnet, 56, 56, 208, 176, 1, 1, 1
resnet, 56, 56, 256, 48, 1, 1, 1
resnet, 56, 56, 256, 64, 1, 1, 1
resnet, 56, 56, 256, 80, 1, 1, 1
resnet, 56, 56, 256, 88, 1, 1, 1
resnet, 56, 56, 256, 104, 1, 1, 1
resnet, 56, 56, 256, 120, 1, 1, 1
resnet, 56, 56, 256, 128, 1, 1, 1
resnet, 56, 56, 256, 144, 1, 1, 1
resnet, 56, 56, 256, 176, 1, 1, 1
resnet, 112, 112, 24, 24, 3, 1, 1
resnet, 112, 112, 24, 40, 3, 1, 1
resnet, 112, 112, 24, 48, 3, 1, 1
resnet, 112, 112, 24, 64, 3, 1, 1
resnet, 112, 112, 32, 32, 3, 1, 1
resnet, 112, 112, 32, 40, 3, 1, 1
resnet, 112, 112, 32, 64, 3, 1, 1
resnet, 224, 224, 3, 24, 3, 2, 1
resnet, 224, 224, 3, 32, 3, 2, 1
