model,input_h,input_w,cin,cout,ks,stride,groups
mobilenetv3, 224, 224, 3, 16, 3, 2, 1
mobilenetv3, 56, 56, 48, 24, 1, 1, 1
mobilenetv3, 56, 56, 24, 144, 1, 1, 1
mobilenetv3, 56, 56, 144, 24, 1, 1, 1
mobilenetv3, 56, 56, 24, 96, 1, 1, 1
mobilenetv3, 56, 56, 96, 24, 1, 1, 1
mobilenetv3, 28, 28, 144, 40, 1, 1, 1
mobilenetv3, 28, 28, 40, 240, 1, 1, 1
mobilenetv3, 28, 28, 240, 40, 1, 1, 1
mobilenetv3, 28, 28, 40, 160, 1, 1, 1
mobilenetv3, 28, 28, 160, 40, 1, 1, 1
mobilenetv3, 28, 28, 40, 120, 1, 1, 1
mobilenetv3, 28, 28, 120, 40, 1, 1, 1
mobilenetv3, 14, 14, 160, 80, 1, 1, 1
mobilenetv3, 14, 14, 80, 320, 1, 1, 1
mobilenetv3, 14, 14, 320, 80, 1, 1, 1
mobilenetv3, 14, 14, 80, 480, 1, 1, 1
mobilenetv3, 14, 14, 480, 112, 1, 1, 1
mobilenetv3, 14, 14, 112, 672, 1, 1, 1
mobilenetv3, 14, 14, 672, 112, 1, 1, 1
mobilenetv3, 14, 14, 112, 448, 1, 1, 1
mobilenetv3, 7, 7, 448, 160, 1, 1, 1
mobilenetv3, 7, 7, 160, 640, 1, 1, 1
mobilenetv3, 7, 7, 640, 160, 1, 1, 1
mobilenetv3, 7, 7, 160, 960, 1, 1, 1
mobilenetv3, 1, 1, 960, 1280, 1, 1, 1
mobilenetv3, 28, 28, 96, 40, 1, 1, 1
mobilenetv3, 14, 14, 480, 80, 1, 1, 1
mobilenetv3, 14, 14, 80, 240, 1, 1, 1
mobilenetv3, 14, 14, 240, 112, 1, 1, 1
mobilenetv3, 14, 14, 448, 112, 1, 1, 1
mobilenetv3, 7, 7, 160, 480, 1, 1, 1
mobilenetv3, 7, 7, 480, 160, 1, 1, 1
mobilenetv3, 112, 112, 16, 96, 1, 1, 1
mobilenetv3, 56, 56, 24, 72, 1, 1, 1
mobilenetv3, 28, 28, 72, 40, 1, 1, 1
mobilenetv3, 14, 14, 240, 80, 1, 1, 1
mobilenetv3, 7, 7, 672, 160, 1, 1, 1
mobilenetv3, 7, 7, 960, 160, 1, 1, 1
mobilenetv3, 112, 112, 16, 64, 1, 1, 1
mobilenetv3, 56, 56, 64, 24, 1, 1, 1
mobilenetv3, 56, 56, 72, 24, 1, 1, 1
mobilenetv3, 14, 14, 120, 80, 1, 1, 1
mobilenetv3, 14, 14, 320, 112, 1, 1, 1
mobilenetv3, 14, 14, 112, 336, 1, 1, 1
mobilenetv3, 14, 14, 336, 112, 1, 1, 1
mobilenetv3, 7, 7, 336, 160, 1, 1, 1
resnet, 7, 7, 264, 264, 3, 1, 1
resnet, 7, 7, 264, 1328, 1, 1, 1
resnet, 7, 7, 328, 328, 3, 1, 1
resnet, 7, 7, 328, 1640, 1, 1, 1
resnet, 7, 7, 336, 336, 3, 1, 1
resnet, 7, 7, 336, 1328, 1, 1, 1
resnet, 7, 7, 408, 408, 3, 1, 1
resnet, 7, 7, 408, 1640, 1, 1, 1
resnet, 7, 7, 408, 2048, 1, 1, 1
resnet, 7, 7, 464, 464, 3, 1, 1
resnet, 7, 7, 464, 1328, 1, 1, 1
resnet, 7, 7, 512, 512, 3, 1, 1
resnet, 7, 7, 512, 2048, 1, 1, 1
resnet, 7, 7, 576, 576, 3, 1, 1
resnet, 7, 7, 576, 1640, 1, 1, 1
resnet, 7, 7, 664, 1328, 1, 1, 1
resnet, 7, 7, 664, 1640, 1, 1, 1
resnet, 7, 7, 664, 2048, 1, 1, 1
resnet, 7, 7, 720, 720, 3, 1, 1
resnet, 7, 7, 720, 2048, 1, 1, 1
resnet, 7, 7, 816, 1328, 1, 1, 1
resnet, 7, 7, 816, 1640, 1, 1, 1
resnet, 7, 7, 816, 2048, 1, 1, 1
resnet, 7, 7, 1024, 1328, 1, 1, 1
resnet, 7, 7, 1024, 1640, 1, 1, 1
resnet, 7, 7, 1024, 2048, 1, 1, 1
resnet, 7, 7, 1328, 264, 1, 1, 1
resnet, 7, 7, 1328, 336, 1, 1, 1
resnet, 7, 7, 1328, 464, 1, 1, 1
resnet, 7, 7, 1640, 328, 1, 1, 1
resnet, 7, 7, 1640, 408, 1, 1, 1
resnet, 7, 7, 1640, 576, 1, 1, 1
resnet, 7, 7, 2048, 408, 1, 1, 1
resnet, 7, 7, 2048, 512, 1, 1, 1
resnet, 7, 7, 2048, 720, 1, 1, 1
resnet, 14, 14, 136, 136, 3, 1, 1
resnet, 14, 14, 136, 664, 1, 1, 1
resnet, 14, 14, 160, 160, 3, 1, 1
resnet, 14, 14, 160, 816, 1, 1, 1
resnet, 14, 14, 168, 168, 3, 1, 1
resnet, 14, 14, 168, 664, 1, 1, 1
resnet, 14, 14, 208, 208, 3, 1, 1
resnet, 14, 14, 208, 816, 1, 1, 1
resnet, 14, 14, 208, 1024, 1, 1, 1
resnet, 14, 14, 232, 232, 3, 1, 1
resnet, 14, 14, 232, 664, 1, 1, 1
resnet, 14, 14, 256, 256, 3, 1, 1
resnet, 14, 14, 256, 1024, 1, 1, 1
resnet, 14, 14, 264, 264, 3, 2, 1
resnet, 14, 14, 288, 288, 3, 1, 1
resnet, 14, 14, 288, 816, 1, 1, 1
resnet, 14, 14, 328, 328, 3, 2, 1
resnet, 14, 14, 336, 336, 3, 2, 1
resnet, 14, 14, 336, 664, 1, 1, 1
resnet, 14, 14, 336, 816, 1, 1, 1
resnet, 14, 14, 336, 1024, 1, 1, 1
resnet, 14, 14, 360, 360, 3, 1, 1
resnet, 14, 14, 360, 1024, 1, 1, 1
resnet, 14, 14, 408, 408, 3, 2, 1
resnet, 14, 14, 408, 664, 1, 1, 1
resnet, 14, 14, 408, 816, 1, 1, 1
resnet, 14, 14, 464, 464, 3, 2, 1
resnet, 14, 14, 512, 512, 3, 2, 1
resnet, 14, 14, 512, 664, 1, 1, 1
resnet, 14, 14, 512, 816, 1, 1, 1
resnet, 14, 14, 512, 1024, 1, 1, 1
resnet, 14, 14, 576, 576, 3, 2, 1
resnet, 14, 14, 664, 136, 1, 1, 1
resnet, 14, 14, 664, 168, 1, 1, 1
resnet, 14, 14, 664, 232, 1, 1, 1
resnet, 14, 14, 664, 264, 1, 1, 1
resnet, 14, 14, 664, 328, 1, 1, 1
resnet, 14, 14, 664, 336, 1, 1, 1
resnet, 14, 14, 664, 512, 1, 1, 1
resnet, 14, 14, 664, 576, 1, 1, 1
resnet, 14, 14, 816, 160, 1, 1, 1
resnet, 14, 14, 816, 208, 1, 1, 1
resnet, 14, 14, 816, 288, 1, 1, 1
resnet, 14, 14, 816, 328, 1, 1, 1
resnet, 14, 14, 816, 336, 1, 1, 1
resnet, 14, 14, 816, 408, 1, 1, 1
resnet, 14, 14, 816, 464, 1, 1, 1
resnet, 14, 14, 816, 512, 1, 1, 1
